iter	Passed	Remaining
669	3829	1886
670	3834	1880
671	3840	1874
672	3845	1868
673	3851	1862
674	3857	1857
675	3862	1851
676	3868	1845
677	3873	1839
678	3879	1834
679	3885	1828
680	3890	1822
681	3897	1817
682	3906	1813
683	3915	1808
684	3923	1804
685	3931	1799
686	3939	1795
687	3945	1789
688	3950	1783
689	3955	1777
690	3961	1771
691	3966	1765
692	3972	1759
693	3977	1753
694	3982	1747
695	3988	1742
696	3993	1736
697	3999	1730
698	4005	1724
699	4010	1718
700	4015	1712
701	4021	1707
702	4026	1701
703	4032	1695
704	4037	1689
705	4043	1683
706	4048	1677
707	4053	1671
708	4058	1665
709	4064	1660
710	4069	1654
711	4075	1648
712	4080	1642
713	4085	1636
714	4091	1630
715	4096	1624
716	4102	1619
717	4107	1613
718	4112	1607
719	4117	1601
720	4123	1595
721	4128	1589
722	4133	1583
723	4139	1577
724	4144	1572
725	4149	1566
726	4154	1560
727	4160	1554
728	4166	1548
729	4171	1542
730	4176	1536
731	4182	1531
732	4187	1525
733	4192	1519
734	4198	1513
735	4203	1507
736	4209	1502
737	4214	1496
738	4220	1490
739	4226	1484
740	4231	1479
741	4237	1473
742	4242	1467
743	4248	1461
744	4253	1455
745	4258	1450
746	4264	1444
747	4269	1438
748	4275	1432
749	4281	1427
750	4286	1421
751	4292	1415
752	4297	1409
753	4303	1403
754	4308	1398
755	4313	1392
756	4319	1386
757	4324	1380
758	4330	1374
759	4335	1369
760	4340	1363
761	4346	1357
762	4351	1351
763	4357	1345
764	4362	1340
765	4369	1334
766	4375	1329
767	4380	1323
768	4385	1317
769	4391	1311
770	4397	1305
771	4402	1300
772	4407	1294
773	4413	1288
774	4418	1282
775	4424	1277
776	4429	1271
777	4435	1265
778	4440	1259
779	4446	1254
780	4451	1248
781	4457	1242
782	4462	1236
783	4468	1231
784	4474	1225
785	4480	1219
786	4485	1214
787	4491	1208
788	4496	1202
789	4501	1196
790	4508	1191
791	4513	1185
792	4519	1179
793	4524	1173
794	4530	1168
795	4535	1162
796	4541	1156
797	4547	1151
798	4552	1145
799	4558	1139
800	4563	1133
801	4568	1127
802	4574	1122
803	4579	1116
804	4585	1110
805	4590	1104
806	4595	1099
807	4601	1093
808	4607	1087
809	4612	1081
810	4618	1076
811	4623	1070
812	4628	1064
813	4634	1058
814	4639	1053
815	4645	1047
816	4650	1041
817	4656	1036
818	4661	1030
819	4666	1024
820	4672	1018
821	4677	1012
822	4682	1007
823	4688	1001
824	4693	995
825	4699	989
826	4704	984
827	4709	978
828	4715	972
829	4720	966
830	4725	961
831	4731	955
832	4736	949
833	4742	943
834	4747	938
835	4753	932
836	4758	926
837	4763	920
838	4769	915
